AÑO_TRIMESTRE;AÑO;TRIMESTRE;FECHA_INICIO;FECHA_FIN;TIPOLOGIA_PENAL_PROPER;NUEVA_TIPOLOGIA_PENAL_AGRUPADA;VALOR_ACUMULADO;VALOR_TRIMESTRE
2015-1;2015;1;01/01/2015;31/03/2015;01. Delitos Y Faltas (Eu);Delitos generales;2778;2778
2015-2;2015;2;01/01/2015;30/06/2015;01. Delitos Y Faltas (Eu);Delitos generales;5635;2857
2015-3;2015;3;01/01/2015;30/09/2015;01. Delitos Y Faltas (Eu);Delitos generales;8247;2612
2015-4;2015;4;01/01/2015;31/12/2015;01. Delitos Y Faltas (Eu);Delitos generales;10974;2727
2016-1;2016;1;01/01/2016;31/03/2016;01. Delitos Y Faltas (Eu);Delitos generales;2617;2617
2016-2;2016;2;01/01/2016;30/06/2016;01. Delitos Y Faltas (Eu);Delitos generales;5362;2745
2016-3;2016;3;01/01/2016;30/09/2016;01. Delitos Y Faltas (Eu);Delitos generales;7968;2606
2016-4;2016;4;01/01/2016;31/12/2016;01. Delitos Y Faltas (Eu);Delitos generales;10684;2716
2016-1;2016;1;01/01/2016;31/03/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2016-2;2016;2;01/01/2016;30/06/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;1
2016-3;2016;3;01/01/2016;30/09/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2016-4;2016;4;01/01/2016;31/12/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;3;1
2017-1;2017;1;01/01/2017;31/03/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2017-2;2017;2;01/01/2017;30/06/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;-1
2017-3;2017;3;01/01/2017;30/09/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2017-4;2017;4;01/01/2017;31/12/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2018-1;2018;1;01/01/2018;31/03/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2018-2;2018;2;01/01/2018;30/06/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2018-3;2018;3;01/01/2018;30/09/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2018-4;2018;4;01/01/2018;31/12/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2019-1;2019;1;01/01/2019;31/03/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;2
2019-2;2019;2;01/01/2019;30/06/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2019-3;2019;3;01/01/2019;30/09/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2019-4;2019;4;01/01/2019;31/12/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;3;1
2020-1;2020;1;01/01/2020;31/03/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-2;2020;2;01/01/2020;30/06/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-3;2020;3;01/01/2020;30/09/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-4;2020;4;01/01/2020;31/12/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2021-1;2021;1;01/01/2021;31/03/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2021-2;2021;2;01/01/2021;30/06/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2021-3;2021;3;01/01/2021;30/09/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2021-4;2021;4;01/01/2021;31/12/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2022-1;2022;1;01/01/2022;31/03/2022;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2022-2;2022;2;01/01/2022;30/06/2022;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2022-3;2022;3;01/01/2022;30/09/2022;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2022-4;2022;4;01/01/2022;31/12/2022;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2023-1;2023;1;01/01/2023;31/03/2023;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2023-2;2023;2;01/01/2023;30/06/2023;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;2
2023-3;2021;3;01/01/2023;30/09/2023;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2023-4;2023;4;01/01/2023;31/12/2023;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;3;1
2024-1;2021;1;01/01/2024;31/03/2024;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2024-2;2021;2;01/01/2024;30/06/2024;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2015-1;2015;1;01/01/2015;31/03/2015;10. Tráfico De Drogas;Delitos de drogas;11;11
2015-2;2015;2;01/01/2015;30/06/2015;10. Tráfico De Drogas;Delitos de drogas;22;11
2015-3;2015;3;01/01/2015;30/09/2015;10. Tráfico De Drogas;Delitos de drogas;27;5
2015-4;2015;4;01/01/2015;31/12/2015;10. Tráfico De Drogas;Delitos de drogas;33;6
2016-1;2016;1;01/01/2016;31/03/2016;10. Tráfico De Drogas;Delitos de drogas;8;8
2016-2;2016;2;01/01/2016;30/06/2016;10. Tráfico De Drogas;Delitos de drogas;24;-1
2016-3;2016;3;01/01/2016;30/09/2016;10. Tráfico De Drogas;Delitos de drogas;28;-1
2016-4;2016;4;01/01/2016;31/12/2016;10. Tráfico De Drogas;Delitos de drogas;35;7
2017-1;2017;1;01/01/2017;31/03/2017;10. Tráfico De Drogas;Delitos de drogas;8;8
2017-2;2017;2;01/01/2017;30/06/2017;10. Tráfico De Drogas;Delitos de drogas;20;12
2017-3;2017;3;01/01/2017;30/09/2017;10. Tráfico De Drogas;Delitos de drogas;30;10
2017-4;2017;4;01/01/2017;31/12/2017;10. Tráfico De Drogas;Delitos de drogas;41;12
2018-1;2018;1;01/01/2018;31/03/2018;10. Tráfico De Drogas;Delitos de drogas;17;17
2018-2;2018;2;01/01/2018;30/06/2018;10. Tráfico De Drogas;Delitos de drogas;24;7
2018-3;2018;3;01/01/2018;30/09/2018;10. Tráfico De Drogas;Delitos de drogas;39;15
2018-4;2018;4;01/01/2018;31/12/2018;10. Tráfico De Drogas;Delitos de drogas;61;22
2019-1;2019;1;01/01/2019;31/03/2019;10. Tráfico De Drogas;Delitos de drogas;7;7
2019-2;2019;2;01/01/2019;30/06/2019;10. Tráfico De Drogas;Delitos de drogas;23;16
2019-3;2019;3;01/01/2019;30/09/2019;10. Tráfico De Drogas;Delitos de drogas;35;12
2019-4;2019;4;01/01/2019;31/12/2019;10. Tráfico De Drogas;Delitos de drogas;51;16
2020-1;2020;1;01/01/2020;31/03/2020;10. Tráfico De Drogas;Delitos de drogas;10;10
2020-2;2020;2;01/01/2020;30/06/2020;10. Tráfico De Drogas;Delitos de drogas;21;13
2020-3;2020;3;01/01/2020;30/09/2020;10. Tráfico De Drogas;Delitos de drogas;28;9
2020-4;2020;4;01/01/2020;31/12/2020;10. Tráfico De Drogas;Delitos de drogas;40;13
2021-1;2021;1;01/01/2021;31/03/2021;10. Tráfico De Drogas;Delitos de drogas;17;17
2021-2;2021;2;01/01/2021;30/06/2021;10. Tráfico De Drogas;Delitos de drogas;36;19
2021-3;2021;3;01/01/2021;30/09/2021;10. Tráfico De Drogas;Delitos de drogas;49;13
2021-4;2021;4;01/01/2021;31/12/2021;10. Tráfico De Drogas;Delitos de drogas;67;18
2022-1;2022;1;01/01/2022;31/03/2022;10. Tráfico De Drogas;Delitos de drogas;10;10
2022-2;2022;2;01/01/2022;30/06/2022;10. Tráfico De Drogas;Delitos de drogas;26;17
2022-3;2022;3;01/01/2022;30/09/2022;10. Tráfico De Drogas;Delitos de drogas;42;17
2022-4;2022;4;01/01/2022;31/12/2022;10. Tráfico De Drogas;Delitos de drogas;50;9
2023-1;2023;1;01/01/2023;31/03/2023;10. Tráfico De Drogas;Delitos de drogas;20;20
2023-2;2023;2;01/01/2023;30/06/2023;10. Tráfico De Drogas;Delitos de drogas;32;12
2023-3;2023;3;01/01/2023;30/09/2023;10. Tráfico De Drogas;Delitos de drogas;47;15
2023-4;2023;4;01/01/2023;31/12/2023;10. Tráfico De Drogas;Delitos de drogas;75;28
2024-1;2024;1;01/01/2024;31/03/2024;10. Tráfico De Drogas;Delitos de drogas;24;24
2024-2;2024;2;01/01/2024;30/06/2024;10. Tráfico De Drogas;Delitos de drogas;47;23
2019-4;2019;4;01/01/2019;31/12/2019;11. Resto De Criminalidad Convencional;Criminalidad convencional;4871;4824
2021-4;2021;4;01/01/2021;31/12/2021;11. Resto De Criminalidad Convencional;Criminalidad convencional;4821;
2022-1;2022;1;01/01/2022;31/03/2022;11. Resto De Criminalidad Convencional;Criminalidad convencional;1325;1325
2022-2;2022;2;01/01/2022;30/06/2022;11. Resto De Criminalidad Convencional;Criminalidad convencional;2592;1267
2022-3;2022;3;01/01/2022;30/09/2022;11. Resto De Criminalidad Convencional;Criminalidad convencional;3801;1209
2022-4;2022;4;01/01/2022;31/12/2022;11. Resto De Criminalidad Convencional;Criminalidad convencional;5067;1266
2023-1;2023;1;01/01/2023;31/03/2023;11. Resto De Criminalidad Convencional;Criminalidad convencional;1280;1280
2023-2;2023;2;01/01/2023;30/06/2023;11. Resto De Criminalidad Convencional;Criminalidad convencional;2558;1278
2023-3;2021;3;01/01/2023;30/09/2023;11. Resto De Criminalidad Convencional;Criminalidad convencional;3951;1396
2023-4;2023;4;01/01/2023;31/12/2023;11. Resto De Criminalidad Convencional;Criminalidad convencional;5433;1482
2024-1;2021;1;01/01/2024;31/03/2024;11. Resto De Criminalidad Convencional;Criminalidad convencional;1614;1614
2024-2;2021;2;01/01/2024;30/06/2024;11. Resto De Criminalidad Convencional;Criminalidad convencional;3151;1537
2019-4;2019;4;01/01/2019;31/12/2019;12. Estafas Informáticas;Ciberdelitos;1135;
2021-4;2021;4;01/01/2021;31/12/2021;12. Estafas Informáticas;Ciberdelitos;1512;
2022-1;2022;1;01/01/2022;31/03/2022;12. Estafas Informáticas;Ciberdelitos;508;508
2022-2;2022;2;01/01/2022;30/06/2022;12. Estafas Informáticas;Ciberdelitos;927;419
2022-3;2022;3;01/01/2022;30/09/2022;12. Estafas Informáticas;Ciberdelitos;1414;487
2022-4;2022;4;01/01/2022;31/12/2022;12. Estafas Informáticas;Ciberdelitos;1916;502
2023-1;2023;1;01/01/2023;31/03/2023;12. Estafas Informáticas;Ciberdelitos;480;480
2023-2;2023;2;01/01/2023;30/06/2023;12. Estafas Informáticas;Ciberdelitos;1023;541
2023-3;2021;3;01/01/2023;30/09/2023;12. Estafas Informáticas;Ciberdelitos;1611;584
2023-4;2023;4;01/01/2023;31/12/2023;12. Estafas Informáticas;Ciberdelitos;2224;613
2024-1;2021;1;01/01/2024;31/03/2024;12. Estafas Informáticas;Ciberdelitos;615;615
2024-2;2021;2;01/01/2024;30/06/2024;12. Estafas Informáticas;Ciberdelitos;1157;542
2019-4;2019;4;01/01/2019;31/12/2019;13. Otros Ciberdelitos;Ciberdelitos;18;
2021-4;2021;4;01/01/2021;31/12/2021;13. Otros Ciberdelitos;Ciberdelitos;47;
2022-1;2022;1;01/01/2022;31/03/2022;13. Otros Ciberdelitos;Ciberdelitos;13;13
2022-2;2022;2;01/01/2022;30/06/2022;13. Otros Ciberdelitos;Ciberdelitos;28;15
2022-3;2022;3;01/01/2022;30/09/2022;13. Otros Ciberdelitos;Ciberdelitos;40;12
2022-4;2022;4;01/01/2022;31/12/2022;13. Otros Ciberdelitos;Ciberdelitos;55;15
2023-1;2023;1;01/01/2023;31/03/2023;13. Otros Ciberdelitos;Ciberdelitos;10;10
2023-2;2023;2;01/01/2023;30/06/2023;13. Otros Ciberdelitos;Ciberdelitos;20;11
2023-3;2021;3;01/01/2023;30/09/2023;13. Otros Ciberdelitos;Ciberdelitos;38;13
2023-4;2023;4;01/01/2023;31/12/2023;13. Otros Ciberdelitos;Ciberdelitos;51;13
2024-1;2021;1;01/01/2024;31/03/2024;13. Otros Ciberdelitos;Ciberdelitos;22;22
2024-2;2021;2;01/01/2024;30/06/2024;13. Otros Ciberdelitos;Ciberdelitos;61;39
2015-1;2015;1;01/01/2015;31/03/2015;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;0;0
2015-2;2015;2;01/01/2015;30/06/2015;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;0;0
2015-3;2015;3;01/01/2015;30/09/2015;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;0;0
2015-4;2015;4;01/01/2015;31/12/2015;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;1;1
2016-1;2016;1;01/01/2016;31/03/2016;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;1;1
2016-2;2016;2;01/01/2016;30/06/2016;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;2;1
2016-3;2016;3;01/01/2016;30/09/2016;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;2;0
2016-4;2016;4;01/01/2016;31/12/2016;02. Homicidios Dolosos Y Asesinatos Consumados (Eu);Homicidios y asesinatos;3;1
2016-1;2016;1;01/01/2016;31/03/2016;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;2;2
2016-2;2016;2;01/01/2016;30/06/2016;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;3;1
2016-3;2016;3;01/01/2016;30/09/2016;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;5;2
2016-4;2016;4;01/01/2016;31/12/2016;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;7;2
2017-1;2017;1;01/01/2017;31/03/2017;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;0;0
2017-2;2017;2;01/01/2017;30/06/2017;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;5;5
2017-3;2017;3;01/01/2017;30/09/2017;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;7;2
2017-4;2017;4;01/01/2017;31/12/2017;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;9;2
2018-1;2018;1;01/01/2018;31/03/2018;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;2;2
2018-2;2018;2;01/01/2018;30/06/2018;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;3;1
2018-3;2018;3;01/01/2018;30/09/2018;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;7;4
2018-4;2018;4;01/01/2018;31/12/2018;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;8;1
2019-1;2019;1;01/01/2019;31/03/2019;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;1;1
2019-2;2019;2;01/01/2019;30/06/2019;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;4;3
2019-3;2019;3;01/01/2019;30/09/2019;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;7;3
2019-4;2019;4;01/01/2019;31/12/2019;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;8;1
2020-1;2020;1;01/01/2020;31/03/2020;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;1;1
2020-2;2020;2;01/01/2020;30/06/2020;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;4;4
2020-3;2020;3;01/01/2020;30/09/2020;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;8;4
2020-4;2020;4;01/01/2020;31/12/2020;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;9;1
2021-1;2021;1;01/01/2021;31/03/2021;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;1;1
2021-2;2021;2;01/01/2021;30/06/2021;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;1;0
2021-3;2021;3;01/01/2021;30/09/2021;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;2;1
2021-4;2021;4;01/01/2021;31/12/2021;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;4;2
2022-1;2022;1;01/01/2022;31/03/2022;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;3;3
2022-2;2022;2;01/01/2022;30/06/2022;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;3;0
2022-3;2022;3;01/01/2022;30/09/2022;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;7;4
2022-4;2022;4;01/01/2022;31/12/2022;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;9;2
2023-1;2023;1;01/01/2023;31/03/2023;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;2;2
2023-2;2023;2;01/01/2023;30/06/2023;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;6;4
2023-3;2021;3;01/01/2023;30/09/2023;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;8;2
2023-4;2023;4;01/01/2023;31/12/2023;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;10;2
2024-1;2021;1;01/01/2024;31/03/2024;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;3;3
2024-2;2021;2;01/01/2024;30/06/2024;02. Homicidios Dolosos Y Asesinatos En Grado Tentativa;Homicidios y asesinatos;6;3
2016-1;2016;1;01/01/2016;31/03/2016;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;1;1
2016-2;2016;2;01/01/2016;30/06/2016;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;1;0
2016-3;2016;3;01/01/2016;30/09/2016;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;1;0
2016-4;2016;4;01/01/2016;31/12/2016;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;1;0
2017-1;2017;1;01/01/2017;31/03/2017;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;0;0
2017-2;2017;2;01/01/2017;30/06/2017;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;0;-83
2017-3;2017;3;01/01/2017;30/09/2017;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;0;-192
2017-4;2017;4;01/01/2017;31/12/2017;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;0;-298
2018-1;2018;1;01/01/2018;31/03/2018;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;94;94
2018-2;2018;2;01/01/2018;30/06/2018;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;189;95
2018-3;2018;3;01/01/2018;30/09/2018;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;281;92
2018-4;2018;4;01/01/2018;31/12/2018;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;361;80
2019-1;2019;1;01/01/2019;31/03/2019;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;74;74
2019-2;2019;2;01/01/2019;30/06/2019;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;188;115
2019-3;2019;3;01/01/2019;30/09/2019;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;297;111
2019-4;2019;4;01/01/2019;31/12/2019;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;107;-183
2020-1;2020;1;01/01/2020;31/03/2020;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;73;73
2020-2;2020;2;01/01/2020;30/06/2020;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;153;134
2020-3;2020;3;01/01/2020;30/09/2020;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;247;209
2020-4;2020;4;01/01/2020;31/12/2020;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;311;240
2021-1;2021;1;01/01/2021;31/03/2021;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;20;20
2021-2;2021;2;01/01/2021;30/06/2021;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;54;34
2021-3;2021;3;01/01/2021;30/09/2021;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;89;35
2021-4;2021;4;01/01/2021;31/12/2021;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;112;23
2022-1;2022;1;01/01/2022;31/03/2022;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;20;20
2022-2;2022;2;01/01/2022;30/06/2022;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;57;37
2022-3;2022;3;01/01/2022;30/09/2022;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;90;33
2022-4;2022;4;01/01/2022;31/12/2022;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;120;30
2023-1;2023;1;01/01/2023;31/03/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;23;23
2023-2;2023;2;01/01/2023;30/06/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;61;38
2023-3;2021;3;01/01/2023;30/09/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;98;37
2023-4;2023;4;01/01/2023;31/12/2023;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;133;35
2024-1;2021;1;01/01/2024;31/03/2024;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;33;33
2024-2;2021;2;01/01/2024;30/06/2024;03. Delitos Graves Y Menos Graves De Lesiones Y Riña Tumultuaria;Delitos de lesiones;68;35
2015-1;2015;1;01/01/2015;31/03/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;359;359
2015-2;2015;2;01/01/2015;30/06/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;721;362
2015-3;2015;3;01/01/2015;30/09/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;1027;306
2015-4;2015;4;01/01/2015;31/12/2015;03. Robo Con Violencia E Intimidación (Eu);Robos;1348;321
2016-1;2016;1;01/01/2016;31/03/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;293;293
2016-2;2016;2;01/01/2016;30/06/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;601;308
