AÑO_TRIMESTRE;AÑO;TRIMESTRE;FECHA_INICIO;FECHA_FIN;TIPOLOGIA_PENAL_PROPER;NUEVA_TIPOLOGIA_PENAL_AGRUPADA;VALOR_ACUMULADO;VALOR_TRIMESTRE
2016-3;2016;3;01/01/2016;30/09/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;890;289
2016-4;2016;4;01/01/2016;31/12/2016;03. Robo Con Violencia E Intimidación (Eu);Robos;1254;364
2015-1;2015;1;01/01/2015;31/03/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;94;94
2015-2;2015;2;01/01/2015;30/06/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;210;116
2015-3;2015;3;01/01/2015;30/09/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;368;158
2015-4;2015;4;01/01/2015;31/12/2015;04. Robos Con Fuerza En Domicilios (Eu);Robos;518;150
2016-1;2016;1;01/01/2016;31/03/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;134;134
2016-2;2016;2;01/01/2016;30/06/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;235;101
2016-3;2016;3;01/01/2016;30/09/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;350;115
2016-4;2016;4;01/01/2016;31/12/2016;04. Robos Con Fuerza En Domicilios (Eu);Robos;453;103
2016-1;2016;1;01/01/2016;31/03/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-2;2016;2;01/01/2016;30/06/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-3;2016;3;01/01/2016;30/09/2016;04. Secuestro;Delitos contra la libertad;0;0
2016-4;2016;4;01/01/2016;31/12/2016;04. Secuestro;Delitos contra la libertad;0;0
2017-1;2017;1;01/01/2017;31/03/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-2;2017;2;01/01/2017;30/06/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-3;2017;3;01/01/2017;30/09/2017;04. Secuestro;Delitos contra la libertad;0;0
2017-4;2017;4;01/01/2017;31/12/2017;04. Secuestro;Delitos contra la libertad;0;0
2018-1;2018;1;01/01/2018;31/03/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-2;2018;2;01/01/2018;30/06/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-3;2018;3;01/01/2018;30/09/2018;04. Secuestro;Delitos contra la libertad;0;0
2018-4;2018;4;01/01/2018;31/12/2018;04. Secuestro;Delitos contra la libertad;0;0
2019-1;2019;1;01/01/2019;31/03/2019;04. Secuestro;Delitos contra la libertad;0;0
2019-2;2019;2;01/01/2019;30/06/2019;04. Secuestro;Delitos contra la libertad;0;0
2019-3;2019;3;01/01/2019;30/09/2019;04. Secuestro;Delitos contra la libertad;0;0
2019-4;2019;4;01/01/2019;31/12/2019;04. Secuestro;Delitos contra la libertad;0;0
2020-1;2020;1;01/01/2020;31/03/2020;04. Secuestro;Delitos contra la libertad;0;0
2020-2;2020;2;01/01/2020;30/06/2020;04. Secuestro;Delitos contra la libertad;0;0
2020-3;2020;3;01/01/2020;30/09/2020;04. Secuestro;Delitos contra la libertad;0;0
2020-4;2020;4;01/01/2020;31/12/2020;04. Secuestro;Delitos contra la libertad;0;0
2021-1;2021;1;01/01/2021;31/03/2021;04. Secuestro;Delitos contra la libertad;0;0
2021-2;2021;2;01/01/2021;30/06/2021;04. Secuestro;Delitos contra la libertad;0;0
2021-3;2021;3;01/01/2021;30/09/2021;04. Secuestro;Delitos contra la libertad;0;0
2021-4;2021;4;01/01/2021;31/12/2021;04. Secuestro;Delitos contra la libertad;0;0
2022-1;2022;1;01/01/2022;31/03/2022;04. Secuestro;Delitos contra la libertad;0;0
2022-2;2022;2;01/01/2022;30/06/2022;04. Secuestro;Delitos contra la libertad;0;0
2022-3;2022;3;01/01/2022;30/09/2022;04. Secuestro;Delitos contra la libertad;0;0
2022-4;2022;4;01/01/2022;31/12/2022;04. Secuestro;Delitos contra la libertad;0;0
2023-1;2023;1;01/01/2023;31/03/2023;04. Secuestro;Delitos contra la libertad;0;0
2023-2;2023;2;01/01/2023;30/06/2023;04. Secuestro;Delitos contra la libertad;0;0
2023-3;2021;3;01/01/2023;30/09/2023;04. Secuestro;Delitos contra la libertad;0;0
2023-4;2023;4;01/01/2023;31/12/2023;04. Secuestro;Delitos contra la libertad;1;1
2024-1;2021;1;01/01/2024;31/03/2024;04. Secuestro;Delitos contra la libertad;0;0
2024-2;2021;2;01/01/2024;30/06/2024;04. Secuestro;Delitos contra la libertad;0;0
2016-1;2016;1;01/01/2016;31/03/2016;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;14;14
2016-2;2016;2;01/01/2016;30/06/2016;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;28;14
2016-3;2016;3;01/01/2016;30/09/2016;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;48;20
2016-4;2016;4;01/01/2016;31/12/2016;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;70;22
2017-1;2017;1;01/01/2017;31/03/2017;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;11;11
2017-2;2017;2;01/01/2017;30/06/2017;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;31;20
2017-3;2017;3;01/01/2017;30/09/2017;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;49;18
2017-4;2017;4;01/01/2017;31/12/2017;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;59;10
2018-1;2018;1;01/01/2018;31/03/2018;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;16;16
2018-2;2018;2;01/01/2018;30/06/2018;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;31;15
2018-3;2018;3;01/01/2018;30/09/2018;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;54;23
2018-4;2018;4;01/01/2018;31/12/2018;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;72;18
2019-1;2019;1;01/01/2019;31/03/2019;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;20;20
2019-2;2019;2;01/01/2019;30/06/2019;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;40;20
2019-3;2019;3;01/01/2019;30/09/2019;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;57;17
2019-4;2019;4;01/01/2019;31/12/2019;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;84;27
2020-1;2020;1;01/01/2020;31/03/2020;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;16;16
2020-2;2020;2;01/01/2020;30/06/2020;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;27;13
2020-3;2020;3;01/01/2020;30/09/2020;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;44;20
2020-4;2020;4;01/01/2020;31/12/2020;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;63;22
2021-1;2021;1;01/01/2021;31/03/2021;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;21;21
2021-2;2021;2;01/01/2021;30/06/2021;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;48;27
2021-3;2021;3;01/01/2021;30/09/2021;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;71;23
2021-4;2021;4;01/01/2021;31/12/2021;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;89;18
2022-1;2022;1;01/01/2022;31/03/2022;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;20;20
2022-2;2022;2;01/01/2022;30/06/2022;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;44;24
2022-3;2022;3;01/01/2022;30/09/2022;05. Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;72;28
2019-4;2019;4;01/01/2019;31/12/2019;05. Delitos Contra La Libertad Sexual;Delitos sexuales;82;
2021-4;2021;4;01/01/2021;31/12/2021;05. Delitos Contra La Libertad Sexual;Delitos sexuales;86;
2022-1;2022;1;01/01/2022;31/03/2022;05. Delitos Contra La Libertad Sexual;Delitos sexuales;20;20
2022-2;2022;2;01/01/2022;30/06/2022;05. Delitos Contra La Libertad Sexual;Delitos sexuales;43;23
2022-3;2022;3;01/01/2022;30/09/2022;05. Delitos Contra La Libertad Sexual;Delitos sexuales;71;28
2022-4;2022;4;01/01/2022;31/12/2022;05. Delitos Contra La Libertad Sexual;Delitos sexuales;100;29
2023-1;2023;1;01/01/2023;31/03/2023;05. Delitos Contra La Libertad Sexual;Delitos sexuales;25;25
2023-2;2023;2;01/01/2023;30/06/2023;05. Delitos Contra La Libertad Sexual;Delitos sexuales;55;30
2023-3;2021;3;01/01/2023;30/09/2023;05. Delitos Contra La Libertad Sexual;Delitos sexuales;90;35
2023-4;2023;4;01/01/2023;31/12/2023;05. Delitos Contra La Libertad Sexual;Delitos sexuales;109;19
2024-1;2021;1;01/01/2024;31/03/2024;05. Delitos Contra La Libertad Sexual;Delitos sexuales;21;21
2024-2;2021;2;01/01/2024;30/06/2024;05. Delitos Contra La Libertad Sexual;Delitos sexuales;41;20
2015-1;2015;1;01/01/2015;31/03/2015;05. Sustracción Vehículos A Motor (Eu);Robos;59;59
2015-2;2015;2;01/01/2015;30/06/2015;05. Sustracción Vehículos A Motor (Eu);Robos;119;60
2015-3;2015;3;01/01/2015;30/09/2015;05. Sustracción Vehículos A Motor (Eu);Robos;172;53
2015-4;2015;4;01/01/2015;31/12/2015;05. Sustracción Vehículos A Motor (Eu);Robos;244;72
2016-1;2016;1;01/01/2016;31/03/2016;05. Sustracción Vehículos A Motor (Eu);Robos;58;58
2016-2;2016;2;01/01/2016;30/06/2016;05. Sustracción Vehículos A Motor (Eu);Robos;118;60
2016-3;2016;3;01/01/2016;30/09/2016;05. Sustracción Vehículos A Motor (Eu);Robos;176;58
2016-4;2016;4;01/01/2016;31/12/2016;05. Sustracción Vehículos A Motor (Eu);Robos;246;70
2016-1;2016;1;01/01/2016;31/03/2016;05.01. Agresión Sexual Con Penetración;Delitos sexuales;3;3
2016-2;2016;2;01/01/2016;30/06/2016;05.01. Agresión Sexual Con Penetración;Delitos sexuales;8;5
2016-3;2016;3;01/01/2016;30/09/2016;05.01. Agresión Sexual Con Penetración;Delitos sexuales;12;4
2016-4;2016;4;01/01/2016;31/12/2016;05.01. Agresión Sexual Con Penetración;Delitos sexuales;18;6
2017-1;2017;1;01/01/2017;31/03/2017;05.01. Agresión Sexual Con Penetración;Delitos sexuales;1;1
2017-2;2017;2;01/01/2017;30/06/2017;05.01. Agresión Sexual Con Penetración;Delitos sexuales;7;6
2017-3;2017;3;01/01/2017;30/09/2017;05.01. Agresión Sexual Con Penetración;Delitos sexuales;10;3
2017-4;2017;4;01/01/2017;31/12/2017;05.01. Agresión Sexual Con Penetración;Delitos sexuales;11;1
2018-1;2018;1;01/01/2018;31/03/2018;05.01. Agresión Sexual Con Penetración;Delitos sexuales;3;3
2018-2;2018;2;01/01/2018;30/06/2018;05.01. Agresión Sexual Con Penetración;Delitos sexuales;8;5
2018-3;2018;3;01/01/2018;30/09/2018;05.01. Agresión Sexual Con Penetración;Delitos sexuales;13;5
2018-4;2018;4;01/01/2018;31/12/2018;05.01. Agresión Sexual Con Penetración;Delitos sexuales;18;5
2019-1;2019;1;01/01/2019;31/03/2019;05.01. Agresión Sexual Con Penetración;Delitos sexuales;4;4
2019-2;2019;2;01/01/2019;30/06/2019;05.01. Agresión Sexual Con Penetración;Delitos sexuales;8;4
2019-3;2019;3;01/01/2019;30/09/2019;05.01. Agresión Sexual Con Penetración;Delitos sexuales;10;2
2019-4;2019;4;01/01/2019;31/12/2019;05.01. Agresión Sexual Con Penetración;Delitos sexuales;18;8
2020-1;2020;1;01/01/2020;31/03/2020;05.01. Agresión Sexual Con Penetración;Delitos sexuales;3;3
2020-2;2020;2;01/01/2020;30/06/2020;05.01. Agresión Sexual Con Penetración;Delitos sexuales;4;2
2020-3;2020;3;01/01/2020;30/09/2020;05.01. Agresión Sexual Con Penetración;Delitos sexuales;8;4
2020-4;2020;4;01/01/2020;31/12/2020;05.01. Agresión Sexual Con Penetración;Delitos sexuales;11;3
2021-1;2021;1;01/01/2021;31/03/2021;05.01. Agresión Sexual Con Penetración;Delitos sexuales;1;1
2021-2;2021;2;01/01/2021;30/06/2021;05.01. Agresión Sexual Con Penetración;Delitos sexuales;5;4
2021-3;2021;3;01/01/2021;30/09/2021;05.01. Agresión Sexual Con Penetración;Delitos sexuales;11;6
2021-4;2021;4;01/01/2021;31/12/2021;05.01. Agresión Sexual Con Penetración;Delitos sexuales;15;4
2022-1;2022;1;01/01/2022;31/03/2022;05.01. Agresión Sexual Con Penetración;Delitos sexuales;5;5
2022-2;2022;2;01/01/2022;30/06/2022;05.01. Agresión Sexual Con Penetración;Delitos sexuales;10;0
2022-3;2022;3;01/01/2022;30/09/2022;05.01. Agresión Sexual Con Penetración;Delitos sexuales;17;0
2022-4;2022;4;01/01/2022;31/12/2022;05.01. Agresión Sexual Con Penetración;Delitos sexuales;26;-3
2023-1;2023;1;01/01/2023;31/03/2023;05.01. Agresión Sexual Con Penetración;Delitos sexuales;6;6
2023-2;2023;2;01/01/2023;30/06/2023;05.01. Agresión Sexual Con Penetración;Delitos sexuales;17;11
2023-3;2021;3;01/01/2023;30/09/2023;05.01. Agresión Sexual Con Penetración;Delitos sexuales;31;14
2023-4;2023;4;01/01/2023;31/12/2023;05.01. Agresión Sexual Con Penetración;Delitos sexuales;37;6
2024-1;2021;1;01/01/2024;31/03/2024;05.01. Agresión Sexual Con Penetración;Delitos sexuales;10;10
2024-2;2021;2;01/01/2024;30/06/2024;05.01. Agresión Sexual Con Penetración;Delitos sexuales;17;7
2016-1;2016;1;01/01/2016;31/03/2016;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;11;11
2016-2;2016;2;01/01/2016;30/06/2016;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;20;9
2016-3;2016;3;01/01/2016;30/09/2016;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;36;16
2016-4;2016;4;01/01/2016;31/12/2016;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;52;16
2017-1;2017;1;01/01/2017;31/03/2017;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;10;10
2017-2;2017;2;01/01/2017;30/06/2017;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;24;14
2017-3;2017;3;01/01/2017;30/09/2017;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;39;15
2017-4;2017;4;01/01/2017;31/12/2017;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;48;9
2018-1;2018;1;01/01/2018;31/03/2018;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;13;13
2018-2;2018;2;01/01/2018;30/06/2018;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;23;10
2018-3;2018;3;01/01/2018;30/09/2018;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;41;18
2018-4;2018;4;01/01/2018;31/12/2018;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;54;13
2019-1;2019;1;01/01/2019;31/03/2019;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;16;16
2019-2;2019;2;01/01/2019;30/06/2019;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;32;16
2019-3;2019;3;01/01/2019;30/09/2019;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;47;15
2019-4;2019;4;01/01/2019;31/12/2019;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;66;19
2020-1;2020;1;01/01/2020;31/03/2020;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;13;13
2020-2;2020;2;01/01/2020;30/06/2020;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;23;11
2020-3;2020;3;01/01/2020;30/09/2020;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;36;16
2020-4;2020;4;01/01/2020;31/12/2020;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;52;19
2021-1;2021;1;01/01/2021;31/03/2021;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;20;20
2021-2;2021;2;01/01/2021;30/06/2021;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;43;23
2021-3;2021;3;01/01/2021;30/09/2021;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;60;17
2021-4;2021;4;01/01/2021;31/12/2021;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;74;14
2022-1;2022;1;01/01/2022;31/03/2022;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;15;15
2022-2;2022;2;01/01/2022;30/06/2022;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;34;19
2022-3;2022;3;01/01/2022;30/09/2022;05.02. Resto De Delitos Contra La Libertad E Indemnidad Sexual;Delitos sexuales;55;21
2019-4;2019;4;01/01/2019;31/12/2019;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;64;
2021-4;2021;4;01/01/2021;31/12/2021;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;71;
2022-1;2022;1;01/01/2022;31/03/2022;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;10;10
2022-2;2022;2;01/01/2022;30/06/2022;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;26;16
2022-3;2022;3;01/01/2022;30/09/2022;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;42;16
2022-4;2022;4;01/01/2022;31/12/2022;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;74;32
2023-1;2023;1;01/01/2023;31/03/2023;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;19;19
2023-2;2023;2;01/01/2023;30/06/2023;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;38;19
2023-3;2021;3;01/01/2023;30/09/2023;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;59;21
2023-4;2023;4;01/01/2023;31/12/2023;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;72;13
2024-1;2021;1;01/01/2024;31/03/2024;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;11;11
2024-2;2021;2;01/01/2024;30/06/2024;05.02. Resto De Delitos Contra La Libertad Sexual;Delitos sexuales;24;13
2016-1;2016;1;01/01/2016;31/03/2016;06. Robos Con Violencia E Intimidación;Robos;293;293
2016-2;2016;2;01/01/2016;30/06/2016;06. Robos Con Violencia E Intimidación;Robos;601;308
2016-3;2016;3;01/01/2016;30/09/2016;06. Robos Con Violencia E Intimidación;Robos;893;292
2016-4;2016;4;01/01/2016;31/12/2016;06. Robos Con Violencia E Intimidación;Robos;1257;364
2017-1;2017;1;01/01/2017;31/03/2017;06. Robos Con Violencia E Intimidación;Robos;384;384
2017-2;2017;2;01/01/2017;30/06/2017;06. Robos Con Violencia E Intimidación;Robos;707;323
2017-3;2017;3;01/01/2017;30/09/2017;06. Robos Con Violencia E Intimidación;Robos;968;261
2017-4;2017;4;01/01/2017;31/12/2017;06. Robos Con Violencia E Intimidación;Robos;1263;295
2018-1;2018;1;01/01/2018;31/03/2018;06. Robos Con Violencia E Intimidación;Robos;325;325
2018-2;2018;2;01/01/2018;30/06/2018;06. Robos Con Violencia E Intimidación;Robos;652;327
2018-3;2018;3;01/01/2018;30/09/2018;06. Robos Con Violencia E Intimidación;Robos;919;267
2018-4;2018;4;01/01/2018;31/12/2018;06. Robos Con Violencia E Intimidación;Robos;1278;359
2019-1;2019;1;01/01/2019;31/03/2019;06. Robos Con Violencia E Intimidación;Robos;342;342
2019-2;2019;2;01/01/2019;30/06/2019;06. Robos Con Violencia E Intimidación;Robos;720;378
2019-3;2019;3;01/01/2019;30/09/2019;06. Robos Con Violencia E Intimidación;Robos;1095;376
2019-4;2019;4;01/01/2019;31/12/2019;06. Robos Con Violencia E Intimidación;Robos;1478;384
2020-1;2020;1;01/01/2020;31/03/2020;06. Robos Con Violencia E Intimidación;Robos;360;360
2020-2;2020;2;01/01/2020;30/06/2020;06. Robos Con Violencia E Intimidación;Robos;590;291
2020-3;2020;3;01/01/2020;30/09/2020;06. Robos Con Violencia E Intimidación;Robos;935;410
2020-4;2020;4;01/01/2020;31/12/2020;06. Robos Con Violencia E Intimidación;Robos;1259;389
2021-1;2021;1;01/01/2021;31/03/2021;06. Robos Con Violencia E Intimidación;Robos;297;297
2021-2;2021;2;01/01/2021;30/06/2021;06. Robos Con Violencia E Intimidación;Robos;564;267
2021-3;2021;3;01/01/2021;30/09/2021;06. Robos Con Violencia E Intimidación;Robos;819;255
2021-4;2021;4;01/01/2021;31/12/2021;06. Robos Con Violencia E Intimidación;Robos;1124;305
2022-1;2022;1;01/01/2022;31/03/2022;06. Robos Con Violencia E Intimidación;Robos;315;315
2022-2;2022;2;01/01/2022;30/06/2022;06. Robos Con Violencia E Intimidación;Robos;665;350
2022-3;2022;3;01/01/2022;30/09/2022;06. Robos Con Violencia E Intimidación;Robos;1070;405
2022-4;2022;4;01/01/2022;31/12/2022;06. Robos Con Violencia E Intimidación;Robos;1462;392
2023-1;2023;1;01/01/2023;31/03/2023;06. Robos Con Violencia E Intimidación;Robos;374;374
2023-2;2023;2;01/01/2023;30/06/2023;06. Robos Con Violencia E Intimidación;Robos;681;307
2023-3;2021;3;01/01/2023;30/09/2023;06. Robos Con Violencia E Intimidación;Robos;998;317
2023-4;2023;4;01/01/2023;31/12/2023;06. Robos Con Violencia E Intimidación;Robos;1373;375
2024-1;2021;1;01/01/2024;31/03/2024;06. Robos Con Violencia E Intimidación;Robos;405;405
2024-2;2021;2;01/01/2024;30/06/2024;06. Robos Con Violencia E Intimidación;Robos;720;315
2015-1;2015;1;01/01/2015;31/03/2015;07. Daños;Daños;281;281
2015-2;2015;2;01/01/2015;30/06/2015;07. Daños;Daños;596;315
2015-3;2015;3;01/01/2015;30/09/2015;07. Daños;Daños;853;257
2015-4;2015;4;01/01/2015;31/12/2015;07. Daños;Daños;1161;308
2016-1;2016;1;01/01/2016;31/03/2016;07. Daños;Daños;277;277
2016-2;2016;2;01/01/2016;30/06/2016;07. Daños;Daños;596;319
2016-3;2016;3;01/01/2016;30/09/2016;07. Daños;Daños;887;291
2016-4;2016;4;01/01/2016;31/12/2016;07. Daños;Daños;1170;283
2016-1;2016;1;01/01/2016;31/03/2016;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;162;162
2016-2;2016;2;01/01/2016;30/06/2016;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;303;141
2016-3;2016;3;01/01/2016;30/09/2016;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;451;148
2016-4;2016;4;01/01/2016;31/12/2016;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;583;132
2017-1;2017;1;01/01/2017;31/03/2017;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;129;129
2017-2;2017;2;01/01/2017;30/06/2017;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;273;144
2017-3;2017;3;01/01/2017;30/09/2017;07. Robos Con Fuerza En Domicilios, Establecimientos Y Otras Instalaciones;Robos;426;153
